artist_name,specific_genre
jr. walker & the all stars,brill building pop
jr. walker & the all stars,classic soul
jr. walker & the all stars,funk
jr. walker & the all stars,motown
jr. walker & the all stars,quiet storm
jr. walker & the all stars,soul
jr. walker & the all stars,southern soul
them,australian metalcore
them,blackened deathcore
them,brutal deathcore
them,deathcore
them,melodic deathcore
them,melodic metalcore
them,metalcore
them,symphonic deathcore
dorothy ashby,funk
dorothy ashby,jazz funk
dorothy ashby,jazz harp
dorothy ashby,space age pop
the turtles,brill building pop
the turtles,bubblegum pop
the turtles,classic rock
the turtles,folk rock
the turtles,psychedelic rock
the knickerbockers,bubblegum pop
the knickerbockers,classic garage rock
the knickerbockers,freakbeat
the walker brothers,brill building pop
the walker brothers,british invasion
the walker brothers,bubblegum pop
the walker brothers,folk rock
the walker brothers,merseybeat
the walker brothers,rock-and-roll
the easybeats,australian rock
the easybeats,bubblegum pop
the easybeats,classic garage rock
the easybeats,folk rock
the easybeats,freakbeat
the easybeats,merseybeat
the easybeats,protopunk
the easybeats,psychedelic rock
the lovin' spoonful,brill building pop
the lovin' spoonful,bubblegum pop
the lovin' spoonful,classic rock
the lovin' spoonful,country rock
the lovin' spoonful,folk
the lovin' spoonful,folk rock
the lovin' spoonful,mellow gold
the lovin' spoonful,merseybeat
the lovin' spoonful,psychedelic rock
the lovin' spoonful,rock
the lovin' spoonful,rock-and-roll
the lovin' spoonful,roots rock
the lovin' spoonful,soft rock
john farnham,australian pop
john farnham,australian rock
fontella bass,chicago soul
fontella bass,classic soul
fontella bass,motown
fontella bass,rhythm and blues
fontella bass,soul
the monkees,beatlesque
the monkees,brill building pop
the monkees,bubblegum pop
the monkees,classic rock
the monkees,country rock
the monkees,folk rock
the monkees,mellow gold
the monkees,rock
the monkees,rock-and-roll
the monkees,soft rock
the monkees,sunshine pop
nancy sinatra,adult standards
nancy sinatra,brill building pop
nancy sinatra,folk rock
the seeds,art rock
the seeds,permanent wave
the spencer davis group,blues rock
the spencer davis group,british blues
the spencer davis group,british invasion
the spencer davis group,bubblegum pop
the spencer davis group,classic rock
the spencer davis group,folk rock
the spencer davis group,merseybeat
the spencer davis group,protopunk
the spencer davis group,psychedelic rock
the spencer davis group,rock-and-roll
percy sledge,brill building pop
percy sledge,classic soul
percy sledge,soul
percy sledge,southern soul
lee hazlewood,baroque pop
lee hazlewood,country rock
lee hazlewood,folk
lee hazlewood,folk rock
lee hazlewood,oklahoma country
lee hazlewood,psychedelic rock
lee hazlewood,singer-songwriter
love,aesthetic rap
love,canadian hip hop
love,canadian trap
love,dark trap
love,ottawa rap
love,underground hip hop
gene pitney,adult standards
gene pitney,brill building pop
gene pitney,bubblegum pop
gene pitney,merseybeat
gene pitney,rock-and-roll
gene pitney,rockabilly
the happenings,brill building pop
the happenings,bubblegum pop
the happenings,merseybeat
paul revere & the raiders,brill building pop
paul revere & the raiders,bubblegum pop
paul revere & the raiders,classic garage rock
paul revere & the raiders,classic rock
paul revere & the raiders,folk rock
paul revere & the raiders,freakbeat
paul revere & the raiders,merseybeat
paul revere & the raiders,protopunk
paul revere & the raiders,psychedelic rock
herman's hermits,adult standards
herman's hermits,brill building pop
herman's hermits,british invasion
herman's hermits,bubblegum pop
herman's hermits,classic rock
herman's hermits,folk rock
herman's hermits,mellow gold
herman's hermits,merseybeat
herman's hermits,rock-and-roll
herman's hermits,rockabilly
the sandpipers,bubblegum pop
the sandpipers,easy listening
paul anka,adult standards
paul anka,brill building pop
paul anka,canadian pop
paul anka,easy listening
paul anka,lounge
paul anka,rock-and-roll
tim buckley,art rock
tim buckley,cosmic american
tim buckley,country rock
tim buckley,experimental
tim buckley,folk
tim buckley,folk rock
tim buckley,psychedelic folk
tim buckley,psychedelic rock
tim buckley,roots rock
tim buckley,singer-songwriter
the mamas & the papas,brill building pop
the mamas & the papas,bubblegum pop
the mamas & the papas,classic rock
the mamas & the papas,folk rock
the mamas & the papas,mellow gold
the mamas & the papas,psychedelic rock
the mamas & the papas,rock
the mamas & the papas,sunshine pop
"dave dee, dozy, beaky, mick & tich",british invasion
"dave dee, dozy, beaky, mick & tich",bubblegum pop
"dave dee, dozy, beaky, mick & tich",merseybeat
